id,english,hebrew
C60CF4EC-C188-48D7-BD65-F61E9B0CD10A,zero,אֶפֶס
00E55DF0-0C6E-4B23-AE6D-4AEBD27293FE,two,שְׁתַּיִם
56467BD4-F766-424A-8E5E-3DB7554CE895,when,מָתַי
EACF09A2-2200-48D6-B031-0507ECB1947A,band/group,לַהֲקָה
A531635C-B5A8-468F-9FB4-A3521D41FA00,play (musical instrument),מְנַגֶּנֶת
29A944D2-2DE8-4AEA-8E67-DCD4EA514B3C,religious studies,לימודי דתות (limuday datot)
1A81A7DE-027A-40B9-854D-F313E6C0F8FC,to run,לָרוּץ
6D08FAE4-CF84-4E02-99D2-56CEB5963CA9,to get up,לָקוּם
49B774F1-35CE-45BE-AE3F-7ABA405A7838,software developer (f),מְפַתֵּחַת תּוּכַנְהָּ
887F587E-1460-4DD0-AFCD-5E01996CD412,already,כְּבָר
5A3BA6B0-4CFB-47CF-B74F-1AE78DA52750,sunday,יוֹם רִאשׁוֹן
EFB2C810-0596-44C3-9125-94955060C917,monday,יוֹם שֵׁנִי
2E233418-04F9-4B7A-B06D-A80C3D73A757,tuesday,יום שלישי
F52154D1-F7F4-468B-A60A-09B07A119305,wednesday,יוֹם רְבִיעִי
E2CAF132-D9AA-4C5C-86DA-75240BA645BB,thursday,יוֹם חֲמִישִׁי
0F681EE7-7C1C-42BF-9D30-247F42DF1F18,friday,יוֹם שִׁשִּׁי
6F68EE88-65E5-446A-AEF4-AF44C5AC6E93,they give (pl. m.),נוֹתְנִים
EC0442E9-3708-4B4B-AC78-4CD8A67751C1,they give (pl. f.),נוֹתְנוֹת
4F03CEB6-6920-4519-9EA2-859FD6F5EDDD,to give,לָתֵת
7E4686ED-0221-449A-B801-5485B791D3C8,now,עַכְשָׁו
F77732B1-B16E-4C7A-9AEF-9F80E52B5E4C,to talk,לְדַבֵּר
DCA6ED6C-3AB7-48B1-BA03-3D397578A8AD,he learns,לוֹמֵד
5C04F5D8-E12A-441A-B455-F78A867B8B34,she learns,לוֹמֶדֶת
550773F2-42D2-4BD2-BFED-6B174C4F6584,they learn (m. pl.),לוֹמְדִים
8058FF37-FB5C-4F13-8A64-09ADE2EF0C91,they learn (f. pl.),לוֹמְדוֹת
