languish דאב
evil report דבה
cling, cleave to דבק
Daberath דברת
breast דד
despair דאבה
bee דבורה
word דבר
honey דבשׁ
<uncertain> דדה
despair דאבון
Deborah דבורה
pest דבר
hump דבשׁת
Dodavahu דדוהו
Doeg דאג
excretion דביונים
pasture דבר
Dabbesheth דבשׁת
Dedan דדן
be afraid דאג
backroom דביר
sting דבר
fish דג
Dedanites דדני
care דאגה
Debir דביר
Debir דבר
fish דגה
Rodanim דדנים
red bird דאה
fig cake דבלה
push back דבר
multiply דגה
surprise דהם
pounce דאה
Riblah דבלה
speak דבר
Dagon דגון
dash דהר
Dor דאר
Diblaim דבלים
cause דברה
banner דגל
dashing דהרה
bear דב
fig cake דבלת
raft דברות
lift banner דגל
pine away דוב
walk דבא
glue דבק
Dibri דברי
corn דגן
fisher דוג
flow דבב
clinging, cleaving to דבק
word דברת
<uncertain> דגר
fishery דוגה
beloved one דוד
pound דוך
tent camp דור
Dibon דיבן
bulwark דיק
cooking pot דוד
hoopoe דוכיפת
Dor דור
fisher דיג
threshing דישׁ
David דוד
silence דומה
circulate דור
fish דיג
<uncertain> דישׁון
father's sister דודה
Dumah דומה
tread on דושׁ
<uncertain> דיה
Dishon דישׁון
Dodo דודו
silence דומיה
push דחה
ink דיו
Dishan דישׁן
Dodai דודי
silently דומם
thrust דחח
Dimon דימון
oppressed דך
mandrake דודי
Damascus דומשׂק
stumbling דחי
Dimonah דימונה
crushed דכא
unwell דוה
<uncertain> דון
millet דחן
claim דין
oppress דכא
menstruate דוה
wax דונג
hurry דחף
judge דין
crushing דכה
rinse דוח
leap דוץ
urge דחק
judge דין
crush דכה
illness דוי
generation דור
Dizahab די זהב
Dinah דינה
dashing דכי
ill דוי
circle דור
sufficiency די
Riphath דיפת
poor דל
door דל
Dilean דלען
likeness דמות
Damascus דמשׂק
drive דפק
ascend דלג
roof דלף
rest דמי
Dan דן
Dophkah דפקה
thread דלה
drip דלף
likeness דמי
Dannah דנה
thin דק
poor דלה
be sleepless דלף
likeness דמין
Dinhabah דנהבה
something thin דק
draw water דלה
Dalphon דלפון
rest דמם
Danite דני
Diklah דקלה
make turbid דלח
set ablaze דלק
calm דממה
Daniel דניאל
crush דקק
bucket דלי
inflammation דלקת
dung דמן
knowledge דע
Deker דקר
Delaiah דליה
door דלת
Dimnah דמנה
knowledge דעה
pierce דקר
Delaiah דליהו
blood דם
abundance דמע
Deuel דעואל
pavement דר
Delilah דלילה
<uncertain> דמה
shed tears דמע
be extinguished דעך
abhorrence דראון
foliage דלית
be silent דמה
tear דמעה
knowledge דעת
point דרבן
belittle דלל
be like דמה
<uncertain> דמשׁק
blemish דפי
<uncertain> דרבן
Darda דרדע
Darkon דרקון
thistles דרדר
inquire דרשׁ
south דרום
young grass דשׁא
drop דרור
grow green דשׁא
release דרור
fatness דשׁן
swallow דרור
fat דשׁן
Darius דריושׁ
grow fat דשׁן
way דרך
orders דת
tread דרך
Dothan דתן
drachmas דרכמנים
Dathan דתן
Damascus דרמשׂק
Darda דרע 
