haughty גא
defilement גאלים
vigorous גבור
<mountain> גבל
Gibeonite גבעוני
haughty גאה
curve גב
strength גבורה
set border גבל
flower-bud גבעל
arrogance גאה
pit גב
bald גבח
Gebalite גבלי
Gibeath גבעת
be high גאה
ditch גבא
bareness גבחת
<uncertain> גבלת
Gibeathite גבעתי
Geuel גאואל
high גבה
swarm גבי
hunched גבן
vigorous man גבר
uproar גאוה
height גבה
Gabbai גבי
cheese גבנה
Geber גבר
avenge גאולים
tall גבה
Gebim גבים
knoll גבנן
Gibbar גבר
height גאון
swarm גבה
cup גביע
Geba גבע
be superior גבר
rise גאות
be high גבה
lord גביר
Gibea גבעא
Gabriel גבריאל
pollute גאל
haughtiness גבהות
mistress גבירה
hill גבעה
lady גברת
redeem גאל
boundary גבול
rock-crystal גבישׁ
Gibeah גבעה
Gibbethon גבתון
right of buying back גאלה
boundary גבולה
Gebal גבל
Gibeon גבעון
roof גג
coriander גד
reviling word גדופה
tassel גדל
Geder גדר
crouch גהר
fortune גד
Gedor גדור
Giddel גדל
Gedor גדר
back גו
Gad גד
goat גדי
be strong גדל
heap stones גדר
back גו
<god of fortune> גד
Gadite גדי
Gedaliah גדליה
heap of stones גדרה
community גו
Hor Haggidgad גדגד
Gaddi גדי
Gedaliah גדליהו
Gederah גדרה
<uncertain> גוב
gather גדד
Gadi גדי
Giddalti גדלתי
Gederoth גדרות
Gob גוב
band גדוד
Gaddiel גדיאל
cut off גדע
Gederite גדרי
Gog גוג
clod גדוד
bank גדיה
Gideon גדעון
wall גדרת
attack גוד
incision גדודה
young goat גדיה
Gidom גדעם
Gederathite גדרתי
pride גוה
great גדול
heap גדישׁ
Gideoni גדעני
Gederothaim גדרתים
<uncertain> גוה
greatness גדולה
greatness גדל
blaspheme גדף
healing גהה
pass along גוז
reviling word גדוף
growing גדל
wall גדר
heal גהה
young of birds גוזל
Gozan גוזן
Gur Baal גור בעל
Gizonite גזוני
Gezer גזר
Gahar גחר
people גוי
whelp גור
Gazez גזז
eat גזר
the Valley of Salt גיא מלח
body גויה
whelp גור
shear גזז
cut גזר
valley גיא
Goyim גוים
be afraid גור
hewn stone גזית
dry land גזרה
sinew גיד
exile גולה
attack גור
robbery גזל
room גזרה
Giah גיח
Golan גולן
dwell גור
robbing גזל
Girzite גזרי
burst forth גיח
pit גומץ
lot גורל
tear away גזל
<uncertain> גחה
Gihon גיחון
Gunite גוני
crust גושׁ
what is robbed גזלה
belly גחון
Gehazi גיחזי
Guni גוני
grass גז
locust גזם
charcoals גחל
rejoicing גיל
expire גוע
treasurer גזבר
Gazzam גזם
charcoals גחל
age גיל
shut גוף
fleece גזה
stump גזע
glow גחלת
rejoice גיל
corpse גופה
<uncertain> גזה
piece גזר
Gaham גחם
rejoicing גילה
Gilonite גילני
skin גלד
Geliloth גלילות
Gilead גלעד
Gimzo גמזו
Ginath גינת
basin גלה
Gallim גלים
Galeed גלעד
camel גמל
Geshan גישׁן
Giloh גלה
Goliath גלית
Gileadite גלעדי
deal fully גמל
wave, heap גל
uncover גלה
matter גלל
go down גלשׁ
Gemalli גמלי
dung-cake גל
idols גלולים
dung גלל
even גם
Gamaliel גמליאל
barber גלב
garment גלום
Galal גלל
papyrus גמא
Gomer גמר
Gilboa גלבע
exile גלות
roll גלל
swallow גמא
Gomer גמר
wheel גלגל
shave גלח
Gilalai גללי
cubit גמד
end גמר
wheel גלגל
tablet גליון
embryo גלם
Gammad גמדים
Gemariah גמריה
wheel גלגל
pivot גליל
wrap גלם
deed גמול
Gemariah גמריהו
Gilgal גלגל
Galilee גליל
barren גלמוד
Gamul גמול
garden גן
skull גלגלת
region גלילה
burst out גלע
recompense גמולה
thief גנב
steal גנב
Gaal געל
sojourner גר
throat גרון
Gerar גרר
what is stolen גנבה
abhor געל
chalk גר
lodging-place גרות
drag away גרר
Genubath גנבת
rebuke גער
Gera גרא
exterminate גרז
produce גרשׁ
garden גנה
rebuke גערה
mange גרב
Gerizim גרזים
drive out גרשׁ
treasury גנז
Gaash געשׁ
Gareb גרב
axe גרזן
expropriation גרשׁה
treasury גנזך
shake געשׁ
olive גרגר
bone גרם
Gershon גרשׁון
enclose גנן
Gatam געתם
throat גרגרת
gnaw גרם
Gershom גרשׁם
Ginnethoi גנתוי
body גף
Girgashite גרגשׁי
Garmite גרמי
Gershonite גרשׁני
Ginnethon גנתון
back? גף
scrap גרד
threshing-floor גרן
groats גרשׂ
Goah געה
vine גפן
gera גרה
be crushed גרס
Geshur גשׁור
low געה
gopher גפר
cud גרה
clip גרע
Geshurite גשׁורי
loathing געל
sulphur גפרית
stir גרה
wash away גרף
rain גשׁם
Geshem גשׁם
Gittaim גתים
<uncertain> גשׁם
<uncertain> גתית
rain גשׁם
Gether גתר
Geshem גשׁמו
Goshen גשׁן
Gishpa גשׁפא
grope גשׁשׁ
Gath Hepher גת החפר
Gath Rimmon גת רמון
wine-press גת
Gath גת
Gittite גתי 
