the ה
mutter הגה
Hadadezer הדדעזר
dignity הדר
Hodiah הודיה
<interrogative> ה
meditation הגות
put הדה
Hadad הדר
disaster הוה
behold הא
Hegai הגי
India הדו
honour הדר
desire הוה
aha האח
groaning הגיג
<uncertain> הדורים
adornment הדרה
destruction הוה
<uncertain> הבהבי
groaning הגיון
Hadoram הדורם
alas הה
fall הוה
breath הבל
<uncertain> הגינה
Hiddai הדי
ah הו
become הוה
Abel הבל
Hagar הגר
tread down הדך
he הוא
Hoham הוהם
be vain הבל
Hagrite הגרי
foot-stool הדם
splendour הוד
alas הוי
ebony הבנים
Hagri הגרי
myrtle הדס
Hod הוד
madness הוללה
divide הבר
<uncertain> הד
Hadassah הדסה
Hodaviah הודוה
madness הוללות
whisper הגה
Hadad Rimmon הדד רמון
push הדף
Hodaviah הודויה
stir הום
expel הגה
Hadad הדד
ornament הדר
Hodaviah הודויהו
Homam הומם
abundance הון
be היה
step הליך
they הם
Haman המן
be easy הון
how היך
walk הליכה
Ham הם
brush-wood המס
Hoshama הושׁמע
palace היכל
going הלך
Hammedatha המדתא
behold הן
Hosea הושׁע
morning-star הילל
walk הלך
they המה
behold הנה
Hoshaiah הושׁעיה
Homam הימם
Hillel הלל
<uncertain> המה
they הנה
Hothir הותיר
Heman הימן
be infatuated הלל
make noise המה
here הנה
pant הזה
hin הין
light הלל
commotion המון
release הנחה
Pi Hahiroth החירות
do wrong הכר
praise הלל
Hamonah המונה
Hinnom הנם
wailing הי
expression הכרה
hither הלם
sound המיה
Hena הנע
she היא
<uncertain> הלא
Helem הלם
sound המלה
swing הנפה
shouting הידד
further הלאה
strike הלם
confuse המם
be still הסה
<uncertain> הידות
exultation הלולים
hammer הלמות
<uncertain> המן
stop הפגה
opposite הפך
Hara הרא
conception הריון
Hathach התך
turn הפך
Haroeh הראה
ruin הריסה
mock התל
overthrow הפכה
<uncertain> הראל
ruin הריסת
mockery התלים
crooked הפכפך
<uncertain> הרבה
Horam הרם
reprove התת
Happizzez הפצץ
slaughter הרג
Harmon הרמון
Hazzobebah הצבבה
kill הרג
Haran הרן
deliverance הצלה
slaughter הרגה
destruction הרס
Hazzelelponi הצללפוני
pregnant הרה
tear down הרס
<uncertain> הצן
be pregnant הרה
Hararite הררי
Mount Heres הר חרס
Harum הרום
Hashem השׁם
mountain הר
pregnancy הרון
information השׁמעות
Mount Hor הר
Harorite הרורי
melting התוך 
