as כ
what is valuable כבודה
footstool כבשׁ
grow dim כהה
Cun כון
pain כאב
Cabul כבול
subdue כבשׁ
priest כהן
be firm כון
be in pain כאב
Cabbon כבון
kiln כבשׁן
act as priest כהן
cup כוס
<uncertain> כאה
great כביר
young ram כבשׂ
priesthood כהנה
owlet כוס
dishearten כאה
quilt כביר
young ewe-lamb כבשׂה
Libya כוב
furnace כור
heavy כבד
fetter כבל
pitcher כד
helmet כובע
Cyrus כורשׁ
liver כבד
wash כבס
ruby כדכד
burn כוה
Cush כושׁ
heaviness כבד
long time כבר
Kedorlaomer כדרלעמר
branding כויה
Cush כושׁ
be heavy כבד
Kebar כבר
thus כה
star כוכב
Cushi כושׁי
heaviness כבדת
multiply כבר
dim כהה
comprehend כול
Cushan-Rishathaim כושׁן רשׁעתים
go out כבה
sieve כברה
effacement כהה
breastplate כומז
Cushan כושׁן
weight כבוד
stretch כברה
rebuke כהה
cake כון
prosperity כושׁרה
Cuthah כות
grow lean כחשׁ
Pleiades כימה
dog כלב
bridehood כלולת
lie כזב
that כי
bag כיס
Caleb כלב
vigour כלח
lie כזב
branding כי
hearth כיר
Calebite כלבי
Calah כלח
Cozeba כזבא
decay כיד
whorl כישׁור
bride כלה
tool כלי
Cozbi כזבי
spark כידוד
thus ככה
destruction כלה
kidney כליה
Kezib כזיב
dart כידון
disk ככר
failing כלה
annihilation כליון
strength כח
onset כידור
Col-Hozeh כל חזה
be complete כלה
Kilion כליון
lizard כח
Kidon כידן
whole כל
Keluhi כלהו
entire כליל
hide כחד
Kaiwan כיון
prison כלא
prison כלוא
Calcol כלכל
paint כחל
basin כיור
restrain כלא
basket כלוב
Kelal כלל
leanness כחשׁ
<uncertain> כילי
Kileab כלאב
Kelub כלוב
perfect כלל
mendacious כחשׁ
crowbar כילף
doubleness כלאים
Caleb כלובי
humiliate כלם
Kilmad כלמד
idol priest כמר
gnat כנם
wing כנף
Orion כסיל
insult כלמה
grow hot כמר
Kenani כנני
hide כנף
Kesil כסיל
insult כלמות
gloom כמריר
Kenaniah כנניה
Kinnereth כנרת
insolence כסילות
Calneh כלנה
thus כן
Conaniah כנניהו
companion כנת
imperturbability כסל
Calno כלנו
correct כן
Chenaniah כנניהו
seat כסא
loin כסל
faint כמה
base כן
gather כנס
full moon כסא
be insolent כסל
Kimham כמהם
gnat כן
be humble כנע
cover כסה
confidence כסלה
Kimham כמהן
<uncertain> כנה
load כנעה
covering כסוי
Kislev כסלו
like כמו
Canneh כנה
Canaan כנען
Kesulloth כסולת
Kesalon כסלון
Chemosh כמושׁ
honour כנה
Kenaanah כנענה
covering כסות
Kislon כסלון
cumin כמן
cither כנור
Canaanite כנעני
cut off כסח
Casluhites כסלחים
store כמס
Jehoiachin כניהו
tradesman כנעני
insolent כסיל
Kisloth Tabor כסלת תבר
clip כסם
shoot כפה
bend כפף
Caphtorite כפתרי
Kerub כרוב
spelt כסמים
subdue כפה
ransom כפר
ram כר
beam כרותה
spelt כסמת
hoar frost כפור
cover כפר
kor כר
Carites כרי
compute כסס
bowl כפור
village כפר
pasture כר
Kerith כרית
silver כסף
stucco-work כפיס
village כפר
basket-saddle כר
divorce כריתות
long כסף
young lion כפיר
henna כפר
wrap כרבל
rim כרכב
Casiphia כספיא
Kephirah כפירה
cover כפר
feast כרה
curcuma כרכום
band כסת
Kephirim כפירים
atonement כפרים
<uncertain> כרה
Carchemish כרכמישׁ
grief כעס
double כפל
cover כפרת
feast כרה
Carcas כרכס
be discontent כעס
fold double כפל
cower כפשׁ
purchase כרה
dromedary כרכרה
palm כף
hunger כפן
bulb כפתור
dig כרה
vineyard כרם
rock כף
desire כפן
Caphtor כפתור
cherub כרוב
vinedresser כרם
Carmite כרמי
dance כרר
succeed כשׁר
wall כתל
Carmi כרמי
Carshena כרשׁנא
advantage כשׁרון
Kitlish כתלישׁ
carmine כרמיל
belly כרשׂ
young ram כשׂב
gold כתם
orchard כרמל
cut כרת
ewe-lamb כשׂבה
defile כתם
new corn כרמל
Cherethite כרתי
Kesed כשׂד
tunic כתנת
Carmel כרמל
Ethiopian כשׁי
Chaldeans כשׂדים
shoulder כתף
Carmelite כרמלי
axe כשׁיל
grow fat כשׂה
headdress כתר
Keran כרן
stumble כשׁל
writing כתב
surround כתר
eat away כרסם
stumbling כשׁלון
write כתב
capital כתרת
kneel כרע
sorcery כשׁף
tattooing כתבת
pound כתשׁ
shank כרעים
sorcerer כשׁף
Kittim כתיים
crush כתת
linen כרפס
practice sorcery כשׁף
beaten, pure כתית 
