pocket חב
cord חבל
Habazziniah חבצניה
Hebron חברון
Hagabah חגבה
hide חבא
sailor חבל
folding חבק
Hebron חברון
jump חגג
Hobab חבב
destruction חבל
embrace חבק
Heberite חברי
abode חגו
love חבב
pledge חבל
Habakkuk חבקוק
Hebronite חברני
girded חגור
Hubbah חבה
<uncertain> חבל
companion חבר
drapery חברת
girdle חגור
hide חבה
foetus חבל
company חבר
companion חברת
girdle חגורה
Habor חבור
be pregnant חבל
partner חבר
saddle חבשׁ
Haggite חגי
bruise חבורה
be corrupt חבל
Heber חבר
pans חבתים
Haggai חגי
beat off חבט
take a pledge חבל
be brilliant חבר
festival חג
Haggi חגי
Hobaiah חביה
pledge חבלה
be united חבר
shame חגא
Haggiah חגיה
veil חביון
union חבלים
skin-specks חברברת
<uncertain> חגב
Haggith חגית
labour pains חבל
asphodel חבצלת
company חברה
Hagab חגב
Hoglah חגלה
gird חגר
Hadlai חדלי
be guilty חוב
Hivite חוי
outside חוץ
sharp חד
nightshade חדק
Hobah חובה
Havilah חוילה
Hukok חוקק
<uncertain> חד
Tigris חדקל
circle חוג
sand חול
linen חור
Hadad חדד
room חדר
<uncertain> חוג
phoenix חול
Hur חור
be sharp חדד
surround חדר
propound a riddle חוד
Hul חול
grow pale חור
rejoice חדה
Hadrach חדרך
tent camp חוה
dance חול
<uncertain> חורי
points חדודים
new חדשׁ
Eve חוה
ruttish חום
Huri חורי
joy חדוה
month חדשׁ
make known חוה
wall חומה
Hurai חורי
Hadid חדיד
Hodesh חדשׁ
bow down חוה
pity חוס
Huram חורם
ceasing חדל
be new חדשׁ
thorn חוח
shore חוף
Hauran חורן
<uncertain> חדל
Hadashah חדשׁה
recess חוח
Hupham חופם
feel חושׁ
cease חדל
guilt חוב
thread חוט
Huphamite חופמי
make haste חושׁ
Hushah חושׁה
vision חזות
strength חזק
sin חטאה
shoot חטר
Hushai חושׁי
vision חזות
be strong חזק
error חטאה
alive חי
Hushim חושׁים
Haziel חזיאל
strength חזקה
sin חטאת
Hiel חיאל
Hushim חושׁים
Hazaiah חזיה
strength חזקה
be coloured חטב
riddle חידה
seal חותם
vision חזיון
Hizki חזקי
gather wood חטב
wild animal חיה
Hotham חותם
Hezion חזיון
Hizkiah חזקיה
wheat חטה
bearing easily חיה
Hazael חזאל
storm-cloud חזיז
Hizkiah חזקיהו
Hattush חטושׁ
life חיה
breast חזה
swine חזיר
thorn חח
Hatita חטיטא
be alive חיה
seer חזה
Hezir חזיר
offence חטא
Hattil חטיל
lifetime חיות
see חזה
strong חזק
sinful חטא
Hatipha חטיפא
life חיים
