granary מאבוס
food מאכלת
enclave מבדלה
promise מבטא
cords מגבלת
might מאד
effort מאמץ
entrance מבוא
trust מבטח
head-gear מגבעה
hundred מאה
word מאמר
confusion מבוכה
<uncertain> מבליגית
present מגד
the Hundred מאה
refuse מאן
deluge מבול
structure מבנה
Megiddo מגדו
desire מאויים
waste away מאס
subjugation מבוסה
Mebunnai מבני
<uncertain> מגדול
blemish מאום
reject מאס
spring מבוע
fortification מבצר
Magdiel מגדיאל
something מאומה
cake מאפה
emptiness מבוקה
Mibzar מבצר
Migdal El מגדל אל
lamp מאור
darkness מאפל
private parts מבושׁים
<uncertain> מברח
Migdal Gad מגדל גד
young one מאורה
<uncertain> מאפליה
choice מבחור
cooking places מבשׁלות
from Migdol to Aswan מגדל סונה
balances מאזנים
hurt מאר
choice מבחר
Mibsam מבשׂם
Migdal Eder מגדל עדר
food מאכל
ambush מארב
Mibhar מבחר
official מג
tower מגדל
knife מאכלת
curse מארה
hope מבט
Magbish מגבישׁ
Migdol מגדל
presents מגדנות
insolent מגן
<uncertain> מגרשׁות
Madon מדון
mortar מדכה
Magog מגוג
deliver מגן
cloth מד
why מדוע
Madmen מדמן
horror מגור
insolence מגנה
desert מדבר
pile מדורה
dung-place מדמנה
horror מגורה
rebuke מגערת
speaking מדבר
overthrow מדחה
Madmenah מדמנה
corn-pit מגורה
blow מגפה
measure מדד
thrust מדחפה
Madmannah מדמנה
neighbourhood מגורים
Magpiash מגפיעשׁ
measured stretch מדה
Media מדי
Madmannah מדמנה
<uncertain> מגורם
hurl מגר
tribute מדה
Mede מדי
Medan מדן
axe מגזרה
stone-saw מגרה
<uncertain> מדהבה
contention מדין
Medanite מדני
sickle מגל
Migron מגרון
garment מדו
Midian מדין
knowledge מדע
roll מגלה
recesses מגרעות
sickness מדוה
Middin מדין
kinsman מדע
<uncertain> מגמת
shovel מגרפה
enticement מדוחים
district מדינה
kinsman מדעת
shield מגן
pasture מגרשׁ
contention מדון
Midianite מדיני
stab מדקרה
steep way מדרגה
fame מהלל
deceit מהתלות
Moladah מולדה
band מוסרה
footstep מדרך
Mahalalel מהללאל
Moab מואב
offspring מולדת
Moserah מוסרה
exposition מדרשׁ
strokes מהלמות
Moabite מואבי
circumcision מולה
appointment מועד
trample מדשׁה
rain-pits מהמרות
coming מובא
Molid מוליד
place of assemblage מועד
what מה
overthrow מהפכה
faint מוג
<uncertain> מוסב
appointing מועדה
tarry מהה
stock מהפכת
bar מוט
foundation מוסד
Moadiah מועדיה
discomfiture מהומה
Maher-Shalal-Hash-Baz מהר שׁלל חשׁ בז
totter מוט
foundation מוסד
darkness מועף
Mehuman מהומן
bride price מהר
yoke-bar מוטה
foundation מוסדה
counsel מועצה
Mehetabel מהיטבאל
obtain מהר
grow poor מוך
foundation מוסדה
<uncertain> מועקה
quick מהיר
hasten מהר
front מול
<uncertain> מוסך
sign מופת
vitiate מהל
haste מהרה
be off מול
chastening מוסר
issue מוצא
passage מהלך
Maharai מהרי
circumcise מול
band מוסר
Moza מוצא
origin מוצאה
teacher מורה
Mushite מושׁי
food מזון
snuffer מזמרת
casting מוצק
razor מורה
Mushi מושׁי
ulcer מזור
trifle מזער
constraint מוצק
<uncertain> מורה
saving acts מושׁעות
<uncertain> מזור
pitch-fork מזרה
casting מוצקת
Moreh מורה
death מות
girdle מזח
constellations מזרות
<uncertain> מוק
possession מורשׁ
die מות
shipyard מזח
sunrise מזרח
hearth מוקד
desire מורשׁ
advantage מותר
girdle מזיח
north-winds מזרים
<uncertain> מוקדה
possession מורשׁה
altar מזבח
fork מזלג
seed-land מזרע
bait מוקשׁ
Moresheth Gath מורשׁת גת
mixed wine מזג
fork מזלג
bowl מזרק
exchange מור
from Moresheth מורשׁתי
hungry מזה
constellation מזלות
fatling מח
fear מורא
touch מושׁ
Mizzah מזה
purpose מזמה
marrow מח
threshing-sledge מורג
depart מושׁ
<uncertain> מזו
psalm מזמור
clap מחא
descent מורד
seat מושׁב
door-post מזוזה
pruning-knife מזמרה
hiding-place מחבא
hiding-places מחבאים
round dance מחול
round dance מחלה
<uncertain> מחלת
muzzle מחסום
clamps מחברות
Mahol מחול
hole מחלה
Mahalath מחלת
need מחסור
junction מחברת
vision מחזה
disease מחלה
Meholathite מחלתי
Mahseiah מחסיה
griddle מחבת
opening מחזה
Mahlah מחלה
<uncertain> מחמאת
breaking מחץ
girding מחגרת
Mahazioth מחזיאות
diseases מחלוים
desire מחמד
break מחץ
fill with marrow מחה
stroke מחי
Mahlon מחלון
something precious מחמד
hewn stone מחצב
strike מחה
Mehida מחידא
Mahlite מחלי
<uncertain> מחמל
half מחצה
wipe מחה
life preservation מחיה
Mahli מחלי
Mahaneh Dan מחנה דן
half מחצית
<uncertain> מחוגה
Mehujael מחייאל
disease מחלף
camp מחנה
skin מחק
shipyard מחוז
price מחיר
plaits מחלפות
Mahanaim מחנים
<uncertain> מחקר
Mehujael מחויאל
Mehir מחיר
robes מחלצות
suffocation מחנק
next day מחר
<uncertain> מחוים
disease מחלה
division מחלקת
refuge מחסה
ploughshare מחרשׁה
ploughshare מחרשׁת
staff מטה
rain מטר
Micah מיכה
<uncertain> מיציאים
next day מחרת
couch מטה
rain מטר
Micaiah מיכיה
Mesha מישׁא
thought מחשׁבה
low place מטה
Matred מטרד
<prophet> מיכיהו
Mishael מישׁאל
plan מחשׁבת
