yeah נא
contemn נאץ
Nebuzaradan נבוזראדן
prophetess נביאה
bubble נבע
Thebes נא אמון
contumely נאצה
Nebuchadnezzar נבוכדנאצר
Nebaioth נביות
Nibshan נבשׁן
raw נא
contumely נאצה
Nebuchadnezzar נבוכדראצר
sandy ground נבך
south נגב
Thebes נא
groan נאק
Nebushazban נבושׁזבן
stupid נבל
counterpart נגד
skin-bottle נאד
groaning נאקה
Naboth נבות
jar נבל
report נגד
be lovely נאה
abandon נאר
Nobah נבח
harp נבל
brightness נגה
lovely נאוה
Nob נב
Nobah נבח
Nabal נבל
Nogah נגה
speech נאם
speak as prophet נבא
bark נבח
wither נבל
shine נגה
speak נאם
be hollow נבב
Nibhaz נבחז
stupidity נבלה
brightness נגהה
commit adultery נאף
Nabu נבו
Nebat נבט
corpse נבלה
goring נגח
adultery נאפופים
<mountain> נבו
look at נבט
vagina נבלות
gore נגח
adultery נאפים
prophecy נבואה
prophet נביא
Neballat נבלט
chief נגיד
music נגינה
free will נדבה
gift נדן
Nahalal נהלל
Nod נוד
play harp נגן
Nedabiah נדביה
scatter נדף
Nahalol נהלל
waver נוד
stroke נגע
flee נדד
vow נדר
groaning נהם
Nodab נודב
touch נגע
restlessness נדדים
vow נדר
groan נהם
pasture נוה
plague נגף
menstruation נדה
<uncertain> נה
growling נהמה
pasture נוה
hurt נגף
gift נדה
moan נהג
cry נהק
<uncertain> נוה
run נגר
exclude נדה
drive נהג
stream נהר
reach נוה
approach נגשׁ
wield נדח
hold נהה
beam נהר
praise נוה
drive נגשׂ
<uncertain> נדי
lament נהה
stream נהר
rest נוח
barrier נד
willing נדיב
lamentation נהי
light נהרה
lament נוח
Nadab נדב
willingness נדיבה
lead נהל
forbid נוא
settle נוח
incite נדב
sheath נדן
watering place נהלל
thrive נוב
Nohah נוחה
<uncertain> נוט
<uncertain> נושׁ
lead נחה
Nehelamite נחלמי
snorting נחרה
slumber נום
spatter נזה
<prophet> נחום
compassion נחם
Naharai נחרי
somnolence נומה
boiled food נזיד
Nehum נחום
Naham נחם
serpent נחשׁ
Nun נון
singled out נזיר
Nahor נחור
repent, console נחם
spell נחשׁ
flee נוס
flow נזל
bronze נחושׁ
comfort נחמה
Nahash נחשׁ
quiver נוע
nose-ring נזם
bronze נחושׁה
Nehemiah נחמיה
divine נחשׁ
Noadiah נועדיה
damage נזק
<uncertain> נחילות
comfort נחמים
Nahshon נחשׁון
height נוף
consecration נזר
nostrils נחירים
Nahamani נחמני
bronze נחשׁת
besprinkle נוף
dedicate נזר
wadi נחל
we נחנו
menstruation נחשׁת
swing נוף
Noah נח
take possession נחל
urge נחץ
Nehushta נחשׁתא
depart נוץ
Nahbi נחבי
heritage נחלה
snorting נחר
Nehushtan נחשׁתן
plumage נוצה
lean נחה
Nahaliel נחליאל
snort נחר
rest נחת
descent נחת
plant נטע
Nebai ניבי
smitten נכא
straight נכח
<uncertain> נחת
Netaim נטעים
condolence ניד
smitten נכא
straightness נכח
Nahath נחת
drops נטף
Naioth ניות
scourge נכא
cunning נכל
descend נחת
drop נטף
smell of appeasement ניחח
ladanum נכאת
act cunningly נכל
extend נטה
drop נטף
offspring נין
progeny נכד
riches נכסים
Netophathite נטופתי
eardrops נטפה
sprout forth נין
smitten נכה
foreigner נכר
weighing נטיל
Netophah נטפה
Nineveh נינוה
<uncertain> נכה
misfortune נכר
plantlet נטיע
be angry נטר
Nissan ניסן
Neco נכה
recognise נכר
shoots נטישׁות
keep נטר
spark ניצוץ
strike נכה
foreign נכרי
load נטל
abandon נטשׁ
tilled ground ניר
Neco נכו
treasure נכת
lay upon נטל
wailing ני
lamp ניר
push נכון
<uncertain> נלה
plantation נטע
fruit ניב
till ניר
Nacon נכון
Nemuel נמואל
Nemuelite נמואלי
libation נסיך
pleasant נעים
Naamathite נעמתי
Naaran נערן
ant נמלה
libation נסך
sandal נעל
thorn-bush נעצוץ
tow נערת
leopard נמר
molten image נסך
lock נעל
boy נער
Memphis נף
Nimrod נמרד
interweave נסך
kindness נעם
youth נער
Nepheg נפג
Nimrah נמרה
pour נסך
Naam נעם
growl נער
yoke נפה
Nimrim נמרים
falter נסס
be pleasant נעם
shake off נער
Nephussim נפוסים
Nimshi נמשׁי
pull out נסע
Naamah נעמה
girl נערה
Nephussim נפושׁסים
signal נס
Nisroch נסרך
Naamah נעמה
Naarah נערה
Nophah נפח
dispensation נסבה
Noah נעה
Naamite נעמי
<locality> נערה
blow נפח
try נסה
Neah נעה
Naomi נעמי
youth נערות
giants נפילים
tear נסח
youth נעורים
Naaman נעמן
Naarai נערי
Naphish נפישׁ
leader נסיך
Neiel נעיאל
pleasant places נעמנים
Neariah נעריה
turquoise נפך
miscarriage נפל
falcon נץ
pillar נציב
speckled נקד
strike נקף
fall נפל
blossom נץ
Nezib נציב
glass-bead נקדה
strike נקף
pattering נפץ
<uncertain> נצא
Neziah נציח
crumbs נקדים
go around נקף
shatter נפץ
handle נצב
deliver נצל
be clean נקה
rope נקפה
soul נפשׁ
stand נצב
blossom נצן
Nekoda נקודא
bore out נקר
take breath נפשׁ
filth נצה
sparkle נצץ
innocent נקי
hole נקרה
honey נפת
blossom נצה
shoot נצר
innocence נקיון
ensnare נקשׁ
hill נפת
decay נצה
watch נצר
cleft נקיק
lamp נר
Nephtoah נפתוח
watch-huts נצורים
passage נקב
vengeance נקם
Ner נר
wrestling נפתולים
glory נצח
bore נקב
avenge נקם
Nergal-Sharezer נרגל שׂר אצר
Naphtuhites נפתחים
blood-spout נצח
female נקבה
vengeance נקמה
Nergal נרגל
Naphtali נפתלי
prevail נצח
sheep-raiser נקד
be separate נקע
nard נרד
Neriah נריה
bite נשׁך
letter נשׁתון
pour נתך
natron נתר
Neriah נריהו
hall נשׁכה
lift נשׂא
Nathan-Melech נתן מלך
run נתר
beguile נשׁא
draw off נשׁל
overtake נשׂג
Nathan נתן
root out נתשׁ
give loan נשׁא
pant נשׁם
load נשׂואה
give נתן
blow נשׁב
breath נשׁמה
chief נשׂיא
Nethanel נתנאל
sciatic nerve נשׁה
breeze נשׁף
fog נשׂיא
Nethaniah נתניה
forget נשׁה
blow נשׁף
kindle נשׂק
Nethaniah נתניהו
debt נשׁי
equipment נשׁק
piece נתח
tear נתס
oblivion נשׁיה
be equipped נשׁק
cut נתח
break נתע
