corner פאה
unclean meat פגול
redemption פדות
benumbing פוגה
<uncertain> פון
splendour פאה
occurrence פגע
Pedaiah פדיה
Puah פוה
Puite פוני
piece פאה
meet פגע
Pedaiah פדיהו
breath פוח
Punon פונן
split פאה
Pagiel פגעיאל
ransom פדיום
wheeze פוח
Puah פועה
headdress פאר
corpse פגר
ransom פדיון
Put פוט
disperse פוץ
knock down פאר
be faint פגר
field? פדן
Potiphera פוטי פרע
<uncertain> פוצי
glorify פאר
meet פגשׁ
<uncertain> פדע
Putiel פוטיאל
totter פוק
bough פארה
buy off פדה
kidney-fat פדר
Potiphar פוטיפר
staggering פוקה
shoot פארה
Pedahel פדהאל
here פה
mascara פוך
lot פור
glow פארור
Pedahzur פדהצור
mouth פה
beans פול
destroy פור
Paran פארן
ransom פדוים
Puah פואה
Libyans פול
trough פורה
unripe fig פג
Padon פדון
grow numb פוג
Pul פול
Poratha פורתא
paw the ground פושׁ
governor פחה
escape פטר
double-edged פיפיות
Peleg פלג
Puthite פותי
<uncertain> פחז
first-born פטרה
Pishon פישׁון
divide פלג
topaz פז
be insolent פחז
Bubastis פי בסת
Pithon פיתון
division פלגה
set with topaz פזז
boasting פחזות
Pi Hahiroth פי החירות
flask פך
division פלגה
be agile פזז
be trapped פחח
decay פיד
trickle פכה
concubine פלגשׁ
scatter פזר
charcoal פחם
<uncertain> פיה
Pokereth-Hazzebaim פכרת הצביים
Pildash פלדשׁ
plate פח
Pahath-Moab פחת מואב
soot פיח
miracle פלא
<uncertain> פלדת
bird-trap פח
pit פחת
Phicol פיכל
be miraculous פלא
be special פלה
trembling פחד
boring פחתת
pim פים
miraculous פלאי
Pallu פלוא
thigh פחד
chrysolite פטדה
fat פימה
Palluite פלאי
slice פלח
tremble פחד
hammer פטישׁ
Phinehas פינחס
Pelaiah פלאיה
cleave פלח
<uncertain> פחדה
first-born פטר
Pinon פינן
division פלג
Pilha פלחא
Pelet פלט
judge פליל
indicator פלס
face פנה
pass between? פסג
escape פלט
decision פלילה
watch פלס
corner פנה
Pisgah פסגה
Paltite פלטי
calling for judgment פלילי
level פלס
turn פנה
<uncertain> פסה
Palti פלטי
decision פליליה
shudder פלץ
<locality> פנואל
Passover פסח
Piltai פלטי
whirl of spindle פלך
shuddering פלצות
Penuel פנואל
lame פסח
Paltiel פלטיאל
district פלך
roll פלשׁ
Peniel פניאל
Paseah פסח
Pelatiah פלטיה
Palal פלל
Philistia פלשׁת
within פנימה
be lame פסח
Pelatiah פלטיהו
arbitrate פלל
Philistine פלשׁתי
inner פנימי
idol פסיל
Pelaiah פליה
pray פלל
Peleth פלת
corals פנינים
Pasach פסך
escaped one פליט
Pelaliah פלליה
Pelethite פלתי
Peninnah פננה
idol פסל
escaped one פליט
a certain פלמני
lest פן
pamper פנק
cut פסל
escape פליטה
a certain פלני
<uncertain> פנג
sole? פס
<uncertain> פסס
Pispah פספה
open פער
entreat פצר
Pekahiah פקחיה
dried figs פרדות
groan פעה
Paarai פערי
tottering פק
officer פקיד
park פרדס
Pau פעו
open פצה
miss פקד
gourd-ornament פקעים
cow פרה
Peor פעור
scatter פצח
commission פקדה
gourd פקעת
Parah פרה
Pai פעי
be serene פצח
deposit פקדון
young bull פר
Purah פרה
doing פעל
sharpening פצירה
oversight פקדת
zebra פרא
be fertile פרה
make פעל
peel פצל
Pekod פקוד
be fertile פרא
Peruda פרודא
work פעלה
peeled stripe פצלה
orders פקודים
Piram פראם
Paruah פרוח
Peullethai פעלתי
split פצם
opening פקח קוח
court פרבר
Parvaim פרוים
foot פעם
bruise פצע
clear-sighted פקח
mule פרד
cooking pot פרור
move פעם
squeeze פצע
Pekah פקח
divide פרד
<uncertain> פרות
bell פעמון
shatter פצץ
open פקח
she-mule פרדה
<uncertain> פרז
village פרזה
robber פריץ
loose hair פרע
Perezite פרצי
statement פרשׁה
countrymen פרזון
burglar פריץ
let loose פרע
Perazim פרצים
Parshandatha פרשׁנדתא
Perizzite פרזי
act of violence פרך
pharaoh פרעה
plunder פרק
spread out פרשׂ
open country פרזי
curtain פרכת
flea פרעשׁ
tear away פרק
<uncertain> פרשׂז
bud פרח
rent פרם
Parosh פרעשׁ
stir פרר
Euphrates פרת
fly? פרח
Parmashta פרמשׁתא
Pirathon פרעתון
break פרר
tamarisk? פרת
sprout פרח
Parnach פרנך
Pirathonite פרעתוני
horseman פרשׁ
nobles פרתמים
<uncertain> פרחח
vulture פרס
Pharpar פרפר
contents of stomach פרשׁ
<uncertain> פשׁ
berries פרט
Persia פרס
Perez Uzzah פרץ עזה
Peresh פרשׁ
lie fallow פשׁח
improvise פרט
break פרס
breach פרץ
explain פרשׁ
Pashhur פשׁחור
fruit פרי
hoof פרסה
Perez פרץ
copy פרשׁגן
strip off פשׁט
Perida פרידא
Persian פרסי
break פרץ
hole פרשׁדן
rebellion פשׁע
rebel פשׁע
decision פתגם
Pethahiah פתחיה
interpret פתר
interpretation פשׁר
be spacious פתה
young man פתי
interpretation פתרון
flax פשׁת
seduce פתה
simplicity פתי
Upper Egypt פתרוס
flax פשׁתה
Pethuel פתואל
garment פתיגיל
Pathrusites פתרסים
spread פשׂה
engraving פתוח
<uncertain> פתיות
copy פתשׁגן
step פשׂע
Pethor פתור
dagger פתיחה
crumble פתת
step פשׂע
fragment פתות
cord פתיל
open פשׂק
opening פתח
twist פתל
bit פת
disclosure פתח
queer פתלתל
forehead פת
engrave פתח
Pithom פתם
suddenly פתאם
open פתח
cobra פתן
table פתבג
inducement פתחון
instant פתע
