<relative> שׁ
scorn שׁאט
body שׁאר
Shubael שׁבואל
spark שׁביב
draw water שׁאב
desolation שׁאיה
rest שׁאר
week שׁבוע
captive שׁביה
roar שׁאג
Sheal שׁאל
remain שׁאר
oath שׁבועה
captives שׁביה
roaring שׁאגה
ask שׁאל
<uncertain> שׁארה
fracture שׁבור
path שׁביל
gaze שׁאה
request שׁאלה
Sheerah שׁארה
captivity שׁבות
headband שׁביס
roar שׁאה
<uncertain> שׁאלה
rest שׁארית
be calm שׁבח
seventh שׁביעי
be waste שׁאה
Shealtiel שׁאלתיאל
desolation שׁאת
praise שׁבח
captivity שׁבית
nether world שׁאול
be at ease שׁאן
Sheba שׁבא
rod שׁבט
train שׁבל
Saul שׁאול
at ease שׁאנן
Sabeans שׁבאים
Shebat שׁבט
miscarriage שׁבלול
Shaulite שׁאולי
<uncertain> שׁאס
splinter שׁבב
captive שׁבי
grain שׁבלת
roar שׁאון
gasp שׁאף
take captive שׁבה
Shobi שׁבי
stream שׁבלת
waste שׁאון
Shear-Jashub שׁאר ישׁוב
<precious stone> שׁבו
Shobai שׁבי
Shebna שׁבנא
Shebna שׁבנה
corn שׁבר
commit error שׁגג
breast שׁד
Shadrach שׁדרך
Shebaniah שׁבניה
interpretation שׁבר
error שׁגגה
demon שׁד
carnelian שׁהם
Shebaniah שׁבניהו
Sheber שׁבר
Shagee שׁגה
breast שׁד
Shoham שׁהם
seven שׁבע
buy grain שׁבר
err שׁגה
despoil שׁדד
vanity שׁוא
Sheba שׁבע
break שׁבר
gaze שׁגח
lady שׁדה
<uncertain> שׁוא
Sheba שׁבע
breakdown שׁברון
sin שׁגיאה
<uncertain> שׁדון
Sheva שׁוא
swear שׁבע
Shebarim שׁברים
dirge שׁגיון
Almighty שׁדי
trouble שׁואה
Shibah שׁבעה
sabbath שׁבת
queen שׁגל
Shedeur שׁדיאור
gather שׁוב
twice seven שׁבענה
inaction שׁבת
be mad שׁגע
terrace שׁדמה
return שׁוב
cramp שׁבץ
cease שׁבת
madness שׁגעון
scorch שׁדף
Shubael שׁובאל
weave שׁבץ
sabbatical feast שׁבתון
litter שׁגר
scorching שׁדפה
apostate שׁובב
breaking שׁבר
Shabbethai שׁבתי
violence שׁד
scorching שׁדפון
apostate שׁובב
Shobab שׁובב
Shuhah שׁוחה
Shomer שׁומר
cry שׁועה
be narrow שׁוק
coming back שׁובה
Shuhite שׁוחי
Shunite שׁוני
fox שׁועל
narrow שׁוקק
Shobach שׁובך
Shuham שׁוחם
Shuni שׁוני
Shual שׁועל
bullock שׁור
Shobal שׁובל
Shuhamite שׁוחמי
Shunem שׁונם
Shual שׁועל
wall שׁור
Shobek שׁובק
whip שׁוט
Shunammite שׁונמי
porter שׁוער
Shur שׁור
plain שׁוה
spate שׁוט
noble שׁוע
snatch שׁוף
descend שׁור
Shaveh שׁוה
despise שׁוט
<uncertain> שׁוע
bruise שׁוף
regard שׁור
place שׁוה
rove about שׁוט
cry שׁוע
Shophach שׁופך
wall שׁורה
be like שׁוה
skirt שׁול
Shua שׁוע
Shuphamite שׁופמי
foe שׁורר
Shuah שׁוח
barefoot שׁולל
Shoa שׁוע
horn שׁופר
Shavsha שׁושׁא
run down שׁוח
Shulammite שׁולמי
cry שׁוע
splint-bone שׁוק
lily שׁושׁן
pit שׁוחה
garlic שׁומים
Shua שׁועא
