long יאב
Josiah יאשׁיהו
bring יבל
dry יבשׁ
grief יגון
be fitting יאה
Jeatherai יאתרי
Ibleam יבלעם
be dry יבשׁ
fearing יגור
Jaazaniah יאזניה
lament יבב
wart יבלת
dry land יבשׁה
Jagur יגור
Jaazaniah יאזניהו
produce יבול
husband's brother יבם
dry land יבשׁת
toil יגיע
Jair יאיר
Jebus יבוס
marry יבם
Ibsam יבשׂם
weary יגיע
Jairite יאירי
Jebusite יבוסי
brother's widow יבמת
Igal יגאל
Jogli יגלי
be foolish יאל
Ibhar יבחר
Jabneel יבנאל
compulsory labour יגב
weary יגע
begin יאל
Jabin יבין
Jabneh יבנה
labour יגב
product יגע
stream יאר
Jabesh יבישׁ
Ibneiah יבניה
Jogbehah יגבהה
be weary יגע
Nile יאר
Jabesh יבישׁ
Ibnijah יבניה
Igdaliah יגדליהו
wearying יגעה
despair יאשׁ
water-ditch יבל
Jabbok יבק
thrust away יגה
be afraid יגר
Josiah יאשׁיה
Jabal יבל
Jeberekiah יברכיהו
grieve יגה
hand יד
Idalah ידאלה
beloved ידיד
<uncertain> יהב
YHWH יהוה
Jehoaddin יהועדן
Idbash ידבשׁ
Jedidah ידידה
give יהב
Jehozabad יהוזבד
Jehozadak יהוצדק
cast lot ידד
Jedidiah ידידיה
Jehud יהד
Jehohanan יהוחנן
Jehoram יהורם
beloved one ידדות
love-song ידידת
be a Jew יהד
Jehoiada יהוידע
Jehosheba יהושׁבע
shoot ידה
Jedaiah ידיה
Jahdai יהדי
Jehoiachin יהויכין
Jehosheba יהושׁבעת
praise ידה
Jediael ידיעאל
Jehu יהוא
Jehoiakim יהויקים
Joshua יהושׁע
Iddo ידו
Jidlaph ידלף
Jehoahaz יהואחז
Jehoiarib יהויריב
Jehoshaphat יהושׁפט
Jadon ידון
Jada ידע
Jehoash יהואשׁ
Jehucal יהוכל
haughty יהיר
Jaddua ידוע
know ידע
Judah יהודה
Jehonadab יהונדב
Jehallelel יהללאל
<uncertain> ידותון
Jedaiah ידעיה
Jewish יהודי
Jehonathan יהונתן
precious stone יהלם
Jeduthun ידותון
soothsayer ידעני
Jehudi יהודי
Joseph יהוסף
Jahaz יהץ
Jaddai ידי
the Lord יה
Judith יהודית
Jehoaddah יהועדה
Jahzah יהצה
Joab יואב
Joha יוחא
Greece יון
Joezer יועזר
Joshah יושׁה
Joah יואח
Johanan יוחנן
Jonadab יונדב
Joash יועשׁ
Joshaviah יושׁויה
Joahaz יואחז
Juttah יוטה
dove יונה
abortion יוצאת
Joshaphat יושׁפט
Joel יואל
Joiada יוידע
Jonah יונה
Jozadak יוצדק
Jotham יותם
Joash יואשׁ
Jehoiachin יויכין
Greek יוני
potter יוצר
rest יותר
Jashub יוב
Joiakim יויקים
sapling יונק
Jokim יוקים
Jeziel יזיאל
Jobab יובב
Joiarib יויריב
shoot יונקת
early rain יורה
Izziah יזיה
<king> יובב
Jochebed יוכבד
Jonathan יונתן
Jorah יורה
Jaziz יזיז
ram יובל
Jehucal יוכל
Joseph יוסף
Jorai יורי
Izliah יזליאה
canal יובל
day יום
Josiphiah יוספיה
Joram יורם
be ruttish יזן
Jubal יובל
by day יומם
Joelah יועאלה
Jushab-Hesed יושׁב חסד
Jezaniah יזניה
Jozabad יוזבד
sediment יון
Joed יועד
Joshibiah יושׁביה
Jezaniah יזניהו
sweat יזע
Jahaziel יחזיאל
Jahleel יחלאל
be good יטב
Jehoiachin יכניהו
<uncertain> יזרח
Jahzeiah יחזיה
Jahleelite יחלאלי
Jotbah יטבה
boy ילד
Izrahiah יזרחיה
Ezekiel יחזקאל
be hot יחם
Jotbathah יטבתה
bear ילד
<town> יזרעאל
Hezekiah יחזקיה
reebok יחמור
Jetur יטור
girl ילדה
Jezreel יזרעאל
Hezekiah יחזקיהו
Jahmai יחמי
wine יין
youth ילדות
Jezreelite יזרעאלי
Jahzerah יחזרה
barefoot יחף
Jehoiachin יכוניה
be confused ילה
gathering יחד
Jehiel יחיאל
Jahzeel יחצאל
reprove יכח
new-born ילוד
be united יחד
Jehieli יחיאלי
Jahzeelite יחצאלי
Jakin יכין
Jalon ילון
together יחדו
only one יחיד
Jahziel יחציאל
Jakinite יכיני
son יליד
Jahdo יחדו
Jehiah יחיה
book יחשׂ
be able יכל
howling ילל
Jahdiel יחדיאל
<uncertain> יחיל
register יחשׂ
Jecoliah יכליהו
howl ילל
Jehdeiah יחדיהו
wait, to hope יחל
Jahath יחת
Jehoiachin יכניה
howling יללה
ringworm ילפת
adders ימם
suck ינק
add יסף
Jaaziah יעזיהו
locust ילק
go to right ימן
owl ינשׁוף
admonish יסר
Jazer יעזר
bag ילקוט
Imnah ימנה
establishment יסד
Jabez יעבץ
<uncertain> יעט
sea ים
right-hand ימני
close יסד
appoint יעד
Jeiel יעיאל
Jemuel ימואל
Imna ימנע
found יסד
Iddo יעדו
Jair יעיר
Jemimah ימימה
<uncertain> ימר
foundation יסדות
shovel יעה
Jacan יעכן
right-hand side ימין
Imrah ימרה
foundation יסוד
sweep יעה
goat יעל
Jamin ימין
oppress ינה
foundation יסודה
Jeuel יעואל
Jael יעל
Benjaminite ימיני
Janoah ינוח
reprover יסור
Jeuz יעוץ
profit יעל
Jaminite ימיני
Janoah ינוחה
<uncertain> יסך
Jeush יעושׁ
goat יעלה
Imlah ימלא
Janim ינום
Iscah יסכה
be insolent יעז
Jaala יעלה
Jamlech ימלך
shoot יניקה
Ismakiah יסמכיהו
Jaaziel יעזיאל
Jalam יעלם
motive יען
honeycomb יער
be beautiful יפה
Japheth יפת
outhouse יציע
<uncertain> יען
Jaar יער
Joppa יפו
Iphtah El יפתח אל
spread out יצע
<uncertain> יענה
kid יערה
<uncertain> יפח
<judge> יפתח
pour יצק
Janai יעני
honeycomb יערה
gasp יפח
Iphtah יפתח
casting of metal יצקה
weary יעף
Jadah יערה
beauty יפי
go out יצא
form יצר
<uncertain> יעף
Jaare-oregim יערי
Japhia יפיע
stand יצב
Jezer יצר
be weary יעף
Jearim יערים
Japhia יפיע
set יצג
shape יצר
advise יעץ
Jaareshiah יערשׁיה
Japhlet יפלט
oil יצהר
Jezerite יצרי
Jacob יעקב
Jaasu יעשׂי
Japhletite יפלטי
Izhar יצהר
members יצרים
Jaakobah יעקבה
Jaasiel יעשׂיאל
Jephunneh יפנה
Izharite יצהרי
kindle יצת
Jaakan יעקן
Iphdeiah יפדיה
shine יפע
couch יצוע
pit יקב
wood יער
beautiful יפה
splendour יפעה
Isaac יצחק
Jekabzeel יקבצאל
burning יקד
precious יקיר
Jokshan יקשׁן
descend ירד
moon ירח
burn יקד
Jekamiah יקמיה
Joktheel יקתאל
Jordan ירדן
Jerah ירח
Jokdeam יקדעם
Jokmeam יקמעם
afraid ירא
<uncertain> ירה
Jeroham ירחם
Jakeh יקה
Jekameam יקמעם
fear ירא
be stupefied ירה
Jerahmeel ירחמאל
obedience יקהה
Jokneam יקנעם
fear יראה
cast ירה
Jerahmeelite ירחמאלי
fire-place יקוד
turn יקע
Iron יראון
teach ירה
Jarha ירחע
<uncertain> יקוט
awake יקץ
Irijah יראייה
Jeruel ירואל
throw ירט
substance יקום
rare יקר
the great king ירב
Jaroah ירוח
Jeriel יריאל
fowler יקושׁ
preciousness יקר
Jerub-Baal ירבעל
green plants ירוק
opponent יריב
Jekuthiel יקותיאל
be precious יקר
Jeroboam ירבעם
Jerusha ירושׁא
Jarib יריב
Joktan יקטן
